Position,Location,Gender,Education,Experience (Years),Salary,Salary_in_LPA,Combined_Tokens
Product Manager Product owner,Mumbai,Female,B.Tech/B.E.,10,700000,7LPA,"['product', 'manager', 'product', 'owner', 'mumbai', '700000 salary', '10 experience (years)']"
UI/UX Developer,Noida,Female,B.Com,26,1800000,18LPA,"['ui', 'ux', 'developer', 'noida', '1800000 salary', '26 experience (years)']"
Supply Chain,New Delhi,Female,B.Com,27,1100000,11LPA,"['supply', 'chain', 'new', 'delhi', '1100000 salary', '27 experience (years)']"
TABLEAU,Navi Mumbai and pune - Maharashtra,Male,B.Tech/B.E.,23,1400000,14LPA,"['tableau', 'navi', 'mumbai', 'and', 'pune', 'maharashtra', '1400000 salary', '23 experience (years)']"
Oracle Banking,Bengaluru,Male,BCA,10,1300000,13LPA,"['oracle', 'banking', 'bca', 'bengaluru', '1300000 salary', '10 experience (years)']"
Oracle BI ETL Devel,Lucknow,Male,B.Tech/B.E.,16,1700000,17LPA,"['oracle', 'bi', 'etl', 'devel', 'lucknow', '1700000 salary', '16 experience (years)']"
LINUX ADMINISTRATOR,Ahmedabad,Female,B.B.A/ B.M.S,19,2100000,21LPA,"['linux', 'administrator', 'ahmedabad', '2100000 salary', '19 experience (years)']"
"BA Asset Managemen, Senior Business Analyst",Noida,Male,B.Com,12,2000000,20LPA,"['ba', 'asset', 'managemen', 'senior', 'business', 'analyst', 'noida', '2000000 salary', '12 experience (years)']"
ui,Bengaluru,Male,B.Sc,23,1600000,16LPA,"['ui', 'bengaluru', '1600000 salary', '23 experience (years)']"
product manager,New Delhi,Male,B.Tech/B.E.,21,800000,8LPA,"['product', 'manager', 'new', 'delhi', '800000 salary', '21 experience (years)']"
"UI/UX Designer+Figma,",Chennai,Male,BCA,28,1000000,10LPA,"['ui', 'ux', 'bca', 'chennai', '1000000 salary', '28 experience (years)']"
devops,Jamshedpur,Male,,11,900000,9LPA,"['devops', 'jamshedpur', '900000 salary', '11 experience (years)']"
Data Science,Pune,Male,B.Tech/B.E.,11,2400000,24LPA,"['data', 'science', 'pune', '2400000 salary', '11 experience (years)']"
Selenium Python,"New Delhi, Delhi, NOIDA, Pune - Delhi",Male,B.B.A/ B.M.S,28,800000,8LPA,"['selenium', 'python', 'new', 'delhi', 'delhi', 'noida', 'pune', 'delhi', '800000 salary', '28 experience (years)']"
NDP Design Chassis,New Delhi,Male,B.Tech/B.E.,7,1700000,17LPA,"['ndp', 'design', 'chassis', 'new', 'delhi', '1700000 salary', '7 experience (years)']"
product manager,Bengaluru,Female,B.Tech/B.E.,12,1400000,14LPA,"['product', 'manager', 'bengaluru', '1400000 salary', '12 experience (years)']"
Python developer,Bengaluru,Female,B.Sc,21,1000000,10LPA,"['python', 'developer', 'bengaluru', '1000000 salary', '21 experience (years)']"
Java with Golang,Chennai,Male,BCA,18,2300000,23LPA,"['java', 'with', 'golang', 'bca', 'chennai', '2300000 salary', '18 experience (years)']"
Cyber Security,Pune,Male,B.A,11,1200000,12LPA,"['cyber', 'security', 'pune', '1200000 salary', '11 experience (years)']"
C + Linux,Bengaluru,Male,B.Tech/B.E.,6,1400000,14LPA,"['c', 'linux', 'bengaluru', '1400000 salary', '6 experience (years)']"
Snowflake Data Engi,Chennai,Male,B.Sc,16,2100000,21LPA,"['snowflake', 'data', 'engi', 'chennai', '2100000 salary', '16 experience (years)']"
UI/UX Designer+Figma,Noida,Male,B.Tech/B.E.,19,1600000,16LPA,"['ui', 'ux', 'noida', '1600000 salary', '19 experience (years)']"
Oracle EBS,Mumbai,Female,B.Tech/B.E.,20,2000000,20LPA,"['oracle', 'ebs', 'mumbai', '2000000 salary', '20 experience (years)']"
Front End Developer,New Delhi,Male,BCA,12,2500000,25LPA,"['front', 'end', 'developer', 'bca', 'new', 'delhi', '2500000 salary', '12 experience (years)']"
"Data Engineer Spark, Big data developer",Visakhapatnam,Female,B.Sc,27,600000,6LPA,"['data', 'engineer', 'spark', 'big', 'data', 'developer', 'visakhapatnam', '600000 salary', '27 experience (years)']"
GCP Devops / Admin,Mohali,Female,B.Tech/B.E.,6,1200000,12LPA,"['gcp', 'devops', 'admin', 'mohali', '1200000 salary', '6 experience (years)']"
Network Engineer,Bengaluru,Female,BCA,28,1500000,15LPA,"['network', 'engineer', 'bca', 'bengaluru', '1500000 salary', '28 experience (years)']"
Product Manager,Kolkata,Male,,18,800000,8LPA,"['product', 'manager', 'kolkata', '800000 salary', '18 experience (years)']"
"Linux,Unix",Bengaluru,Male,B.Tech/B.E.,13,1600000,16LPA,"['linux', 'unix', 'bengaluru', '1600000 salary', '13 experience (years)']"
Selenium-Python,Kanpur,Male,B.Com,9,1100000,11LPA,"['selenium', 'python', 'kanpur', '1100000 salary', '9 experience (years)']"
oracle webcentr,Bengaluru,Male,B.Tech/B.E.,24,1100000,11LPA,"['oracle', 'webcentr', 'bengaluru', '1100000 salary', '24 experience (years)']"
cypress with automation testing,Gurugram,Female,B.Tech/B.E.,15,600000,6LPA,"['cypress', 'with', 'automation', 'testing', 'gurugram', '600000 salary', '15 experience (years)']"
BMC control admin,Lucknow,Male,B.Com,21,800000,8LPA,"['bmc', 'control', 'admin', 'lucknow', '800000 salary', '21 experience (years)']"
Product Manager,Gurugram,Male,B.Sc,24,1500000,15LPA,"['product', 'manager', 'gurugram', '1500000 salary', '24 experience (years)']"
ORACLE EBS ANALYST,Nagpur,Male,B.Sc,17,700000,7LPA,"['oracle', 'ebs', 'analyst', 'nagpur', '700000 salary', '17 experience (years)']"
NDP Design Chassis,Bengaluru,Male,B.Tech/B.E.,19,1800000,18LPA,"['ndp', 'design', 'chassis', 'bengaluru', '1800000 salary', '19 experience (years)']"
SFDC PRINCIPAL CONSULTANT,Nagpur,Female,Diploma,22,1300000,13LPA,"['sfdc', 'principal', 'consultant', 'diploma', 'nagpur', '1300000 salary', '22 experience (years)']"
drupal cms+php,Pune,Female,BCA,14,2000000,20LPA,"['drupal', 'bca', 'pune', '2000000 salary', '14 experience (years)']"
RISK AND PORTFOLIO,New Delhi,Female,B.Tech/B.E.,10,1400000,14LPA,"['risk', 'and', 'portfolio', 'new', 'delhi', '1400000 salary', '10 experience (years)']"
,New Delhi,Male,BCA,25,1700000,17LPA,"['bca', 'new', 'delhi', '1700000 salary', '25 experience (years)']"
Servicenow Developer,New Delhi,Male,BCA,21,1400000,14LPA,"['servicenow', 'developer', 'bca', 'new', 'delhi', '1400000 salary', '21 experience (years)']"
NDP DESIGN CHASSIS,Gudivada,Male,B.Tech/B.E.,10,2000000,20LPA,"['ndp', 'design', 'chassis', 'gudivada', '2000000 salary', '10 experience (years)']"
,New Delhi,Female,B.Sc,25,800000,8LPA,"['new', 'delhi', '800000 salary', '25 experience (years)']"
Snowflake Data Engi,Siliguri,Female,B.Sc,16,1800000,18LPA,"['snowflake', 'data', 'engi', 'siliguri', '1800000 salary', '16 experience (years)']"
RPA DEVELOPER,nioda - Uttar Pradesh,Male,Diploma,21,900000,9LPA,"['rpa', 'developer', 'diploma', 'nioda', 'uttar', 'pradesh', '900000 salary', '21 experience (years)']"
Imanage Support,Noida,Male,B.Tech/B.E.,24,700000,7LPA,"['imanage', 'support', 'noida', '700000 salary', '24 experience (years)']"
clm,Mumbai,Male,B.B.A/ B.M.S,23,800000,8LPA,"['clm', 'mumbai', '800000 salary', '23 experience (years)']"
,New Delhi,Male,B.Sc,26,1300000,13LPA,"['new', 'delhi', '1300000 salary', '26 experience (years)']"
Cuda Developer,Hyderabad,Male,B.Tech/B.E.,6,1400000,14LPA,"['cuda', 'developer', 'hyderabad', '1400000 salary', '6 experience (years)']"
data science,Pune,Male,B.A,15,2200000,22LPA,"['data', 'science', 'pune', '2200000 salary', '15 experience (years)']"
,New Delhi,Male,B.Com,17,900000,9LPA,"['new', 'delhi', '900000 salary', '17 experience (years)']"
java full stack Developer,Noida,Male,B.Tech/B.E.,24,1700000,17LPA,"['java', 'full', 'stack', 'developer', 'noida', '1700000 salary', '24 experience (years)']"
,Noida,Female,B.Tech/B.E.,15,2300000,23LPA,"['noida', '2300000 salary', '15 experience (years)']"
Cuda Developer,Gurugram,Male,B.Sc,18,1200000,12LPA,"['cuda', 'developer', 'gurugram', '1200000 salary', '18 experience (years)']"
Risk and portfolio,New Delhi,Male,B.A,11,900000,9LPA,"['risk', 'and', 'portfolio', 'new', 'delhi', '900000 salary', '11 experience (years)']"
ORACLE EBS,Jaipur,Female,B.Sc,10,1000000,10LPA,"['oracle', 'ebs', 'jaipur', '1000000 salary', '10 experience (years)']"
,Kolkata,Male,BCA,26,500000,5LPA,"['bca', 'kolkata', '500000 salary', '26 experience (years)']"
Catia BIW,Indore,Male,B.Tech/B.E.,19,2000000,20LPA,"['catia', 'biw', 'indore', '2000000 salary', '19 experience (years)']"
imanage support,Bengaluru,Female,B.Tech/B.E.,9,900000,9LPA,"['imanage', 'support', 'bengaluru', '900000 salary', '9 experience (years)']"
"NPD Design-Chassis, Senior Lead Engineer",Hyderabad,Female,B.Tech/B.E.,20,800000,8LPA,"['npd', 'design', 'chassis', 'senior', 'lead', 'engineer', 'hyderabad', '800000 salary', '20 experience (years)']"
UI/UX Designer+FIGMA,Mumbai,Male,B.Sc,25,2200000,22LPA,"['ui', 'ux', 'mumbai', '2200000 salary', '25 experience (years)']"
,Noida,Male,B.Tech/B.E.,23,2100000,21LPA,"['noida', '2100000 salary', '23 experience (years)']"
php developer,Bilaspur,Male,B.Com,8,2400000,24LPA,"['php', 'developer', 'bilaspur', '2400000 salary', '8 experience (years)']"
UI/UX Designer,New Delhi,Male,BCA,19,1400000,14LPA,"['ui', 'ux', 'designer', 'bca', 'new', 'delhi', '1400000 salary', '19 experience (years)']"
mainframe suport,Pune,Female,B.Sc,9,2200000,22LPA,"['mainframe', 'suport', 'pune', '2200000 salary', '9 experience (years)']"
UI/UX Designer+fixma,New Delhi,Male,B.Sc,21,600000,6LPA,"['ui', 'ux', 'new', 'delhi', '600000 salary', '21 experience (years)']"
React Native,Noida,Male,B.Tech/B.E.,26,1300000,13LPA,"['react', 'native', 'noida', '1300000 salary', '26 experience (years)']"
Selenium Python,Pune,Male,B.Tech/B.E.,8,1400000,14LPA,"['selenium', 'python', 'pune', '1400000 salary', '8 experience (years)']"
AWS CLOUD,Hyderabad,Female,B.Com,25,1500000,15LPA,"['aws', 'cloud', 'hyderabad', '1500000 salary', '25 experience (years)']"
Oracle cloud EBS Financial consultant,"Mumbai, Maharashtra, pune - Maharashtra",Male,B.Tech/B.E.,8,1000000,10LPA,"['oracle', 'cloud', 'ebs', 'financial', 'consultant', 'mumbai', 'maharashtra', 'pune', 'maharashtra', '1000000 salary', '8 experience (years)']"
Java Flowable,Kolkata,Male,BCA,22,1500000,15LPA,"['java', 'flowable', 'bca', 'kolkata', '1500000 salary', '22 experience (years)']"
ibm api connect,Navi Mumbai,Female,B.Tech/B.E.,7,1400000,14LPA,"['ibm', 'api', 'connect', 'navi', 'mumbai', '1400000 salary', '7 experience (years)']"
Servicenow Developer,New Delhi,Male,B.A,27,2400000,24LPA,"['servicenow', 'developer', 'new', 'delhi', '2400000 salary', '27 experience (years)']"
Oracle Insurance Policy Administration,Guwahati,Male,,7,2100000,21LPA,"['oracle', 'insurance', 'policy', 'administration', 'guwahati', '2100000 salary', '7 experience (years)']"
Nomad Developer,Bengaluru,Female,Diploma,18,2100000,21LPA,"['nomad', 'developer', 'diploma', 'bengaluru', '2100000 salary', '18 experience (years)']"
JAVA WITH FLOWABLE,Bengaluru,Male,B.Tech/B.E.,11,1100000,11LPA,"['java', 'with', 'flowable', 'bengaluru', '1100000 salary', '11 experience (years)']"
middleware administrator,Chennai,Male,B.Com,18,1900000,19LPA,"['middleware', 'administrator', 'chennai', '1900000 salary', '18 experience (years)']"
Oracle Product Engi,New Delhi,Male,B.Com,6,1700000,17LPA,"['oracle', 'product', 'engi', 'new', 'delhi', '1700000 salary', '6 experience (years)']"
Data Engineer,Bengaluru,Male,B.A,18,2100000,21LPA,"['data', 'engineer', 'bengaluru', '2100000 salary', '18 experience (years)']"
java fullstack,Gurugram,Male,B.Com,14,1200000,12LPA,"['java', 'fullstack', 'gurugram', '1200000 salary', '14 experience (years)']"
UI developers,New Delhi,Female,B.A,12,1700000,17LPA,"['ui', 'developers', 'new', 'delhi', '1700000 salary', '12 experience (years)']"
Catia BIW,Kolkata,Male,B.Tech/B.E.,27,1300000,13LPA,"['catia', 'biw', 'kolkata', '1300000 salary', '27 experience (years)']"
Network Engineer,Pune,Male,B.Com,18,1800000,18LPA,"['network', 'engineer', 'pune', '1800000 salary', '18 experience (years)']"
Snowflake Data Engi,New Delhi,Male,B.Tech/B.E.,19,1300000,13LPA,"['snowflake', 'data', 'engi', 'new', 'delhi', '1300000 salary', '19 experience (years)']"
Liferay Developer,New Delhi,Male,B.Tech/B.E.,12,1800000,18LPA,"['liferay', 'developer', 'new', 'delhi', '1800000 salary', '12 experience (years)']"
Product Manager,New Delhi,Male,B.Sc,22,1400000,14LPA,"['product', 'manager', 'new', 'delhi', '1400000 salary', '22 experience (years)']"
UI Developers,Nagpur,Male,B.Tech/B.E.,14,700000,7LPA,"['ui', 'developers', 'nagpur', '700000 salary', '14 experience (years)']"
C + Linux,Noida,Male,Diploma,8,1500000,15LPA,"['c', 'linux', 'diploma', 'noida', '1500000 salary', '8 experience (years)']"
NPD-Interior Trims,Mumbai,Male,BCA,17,700000,7LPA,"['npd', 'interior', 'trims', 'bca', 'mumbai', '700000 salary', '17 experience (years)']"
UI/UX Designer+FIGMA,New Delhi,Male,B.Tech/B.E.,27,1300000,13LPA,"['ui', 'ux', 'new', 'delhi', '1300000 salary', '27 experience (years)']"
Servicenow,Tiruchirapalli,Female,B.Tech/B.E.,24,2400000,24LPA,"['servicenow', 'tiruchirapalli', '2400000 salary', '24 experience (years)']"
Python full stck developer,Mumbai,Male,B.Tech/B.E.,19,1800000,18LPA,"['python', 'full', 'stck', 'developer', 'mumbai', '1800000 salary', '19 experience (years)']"
HR Data Business An,New Delhi,Female,B.Com,27,2500000,25LPA,"['hr', 'data', 'business', 'an', 'new', 'delhi', '2500000 salary', '27 experience (years)']"
Network Engineer,Pune,Female,B.A,14,2000000,20LPA,"['network', 'engineer', 'pune', '2000000 salary', '14 experience (years)']"
OneShield Dragon Designer,Bengaluru,Male,B.Com,19,500000,5LPA,"['oneshield', 'dragon', 'designer', 'bengaluru', '500000 salary', '19 experience (years)']"
Oracle,Pune,Male,B.Com,17,1600000,16LPA,"['oracle', 'pune', '1600000 salary', '17 experience (years)']"
Workday integration,Pune,Male,B.B.A/ B.M.S,27,1300000,13LPA,"['workday', 'integration', 'pune', '1300000 salary', '27 experience (years)']"
HR Data BA,Noida,Male,B.A,6,1700000,17LPA,"['hr', 'data', 'ba', 'noida', '1700000 salary', '6 experience (years)']"
HR Data BA,Bengaluru,Male,BCA,27,1400000,14LPA,"['hr', 'data', 'ba', 'bca', 'bengaluru', '1400000 salary', '27 experience (years)']"
Cybersecurity,Noida,Female,B.A,24,2400000,24LPA,"['cybersecurity', 'noida', '2400000 salary', '24 experience (years)']"
Python Fullstack developer,Dindigul,Female,B.Tech/B.E.,6,1400000,14LPA,"['python', 'fullstack', 'developer', 'dindigul', '1400000 salary', '6 experience (years)']"
Ping identity,Noida,Male,B.Tech/B.E.,19,2400000,24LPA,"['ping', 'identity', 'noida', '2400000 salary', '19 experience (years)']"
Ping identity,"Mumbai, Maharashtra - Maharashtra",Female,B.A,5,2400000,24LPA,"['ping', 'identity', 'mumbai', 'maharashtra', 'maharashtra', '2400000 salary', '5 experience (years)']"
Ping identity,Bengaluru,Female,B.B.A/ B.M.S,22,2400000,24LPA,"['ping', 'identity', 'bengaluru', '2400000 salary', '22 experience (years)']"
Ping identity,Siliguri,Female,Diploma,21,800000,8LPA,"['ping', 'identity', 'diploma', 'siliguri', '800000 salary', '21 experience (years)']"
HR Data Business An,Kolkata,Male,B.Tech/B.E.,7,800000,8LPA,"['hr', 'data', 'business', 'an', 'kolkata', '800000 salary', '7 experience (years)']"
React Native,Hyderabad,Male,B.Tech/B.E.,16,2200000,22LPA,"['react', 'native', 'hyderabad', '2200000 salary', '16 experience (years)']"
Linux admin,Bengaluru,Male,B.Tech/B.E.,6,700000,7LPA,"['linux', 'admin', 'bengaluru', '700000 salary', '6 experience (years)']"
Linux admin,Mumbai,Male,B.Tech/B.E.,13,1300000,13LPA,"['linux', 'admin', 'mumbai', '1300000 salary', '13 experience (years)']"
NDP Exterior,New Delhi,Male,B.A,24,2200000,22LPA,"['ndp', 'exterior', 'new', 'delhi', '2200000 salary', '24 experience (years)']"
Ping identity,New Delhi,Female,B.Tech/B.E.,12,600000,6LPA,"['ping', 'identity', 'new', 'delhi', '600000 salary', '12 experience (years)']"
Big data developer,New Delhi,Female,,19,600000,6LPA,"['big', 'data', 'developer', 'new', 'delhi', '600000 salary', '19 experience (years)']"
Java Full Stack,Noida,Female,B.Tech/B.E.,28,800000,8LPA,"['java', 'full', 'stack', 'noida', '800000 salary', '28 experience (years)']"
Supply Chain,Hyderabad,Female,B.Com,17,2400000,24LPA,"['supply', 'chain', 'hyderabad', '2400000 salary', '17 experience (years)']"
UX Desinger with Figma,Gurugram,Male,B.Sc,28,700000,7LPA,"['ux', 'desinger', 'with', 'figma', 'gurugram', '700000 salary', '28 experience (years)']"
IBM Datapower,"Noida, Delhi - Uttar Pradesh",Female,Diploma,14,1200000,12LPA,"['ibm', 'datapower', 'diploma', 'noida', 'delhi', 'uttar', 'pradesh', '1200000 salary', '14 experience (years)']"
"Linux Administrator,",Bengaluru,Female,B.Com,9,1600000,16LPA,"['linux', 'administrator', 'bengaluru', '1600000 salary', '9 experience (years)']"
DI Eclipse Architect,Pune,Female,B.Sc,6,1700000,17LPA,"['di', 'eclipse', 'architect', 'pune', '1700000 salary', '6 experience (years)']"
Cuda Developer,Mumbai,Male,Diploma,23,1300000,13LPA,"['cuda', 'developer', 'diploma', 'mumbai', '1300000 salary', '23 experience (years)']"
Data Scientist,Bengaluru,Female,B.Tech/B.E.,23,1600000,16LPA,"['data', 'scientist', 'bengaluru', '1600000 salary', '23 experience (years)']"
Cuda Developer,Noida,Male,B.Tech/B.E.,25,1300000,13LPA,"['cuda', 'developer', 'noida', '1300000 salary', '25 experience (years)']"
Cuda Developer,Noida,Male,Diploma,9,2300000,23LPA,"['cuda', 'developer', 'diploma', 'noida', '2300000 salary', '9 experience (years)']"
Product Manager,Noida,Female,B.Tech/B.E.,27,500000,5LPA,"['product', 'manager', 'noida', '500000 salary', '27 experience (years)']"
Cuda Developer,Pune,Male,B.A,19,2500000,25LPA,"['cuda', 'developer', 'pune', '2500000 salary', '19 experience (years)']"
C++,Noida,Female,B.Sc,11,900000,9LPA,"['noida', '900000 salary', '11 experience (years)']"
COMPLIANCE TRANSACTION MONITORING,Pune,Male,B.Tech/B.E.,26,1700000,17LPA,"['compliance', 'transaction', 'monitoring', 'pune', '1700000 salary', '26 experience (years)']"
"Windows, Linux,",Nagpur,Male,B.Tech/B.E.,9,1200000,12LPA,"['windows', 'linux', 'nagpur', '1200000 salary', '9 experience (years)']"
C programming,Bengaluru,Male,Diploma,9,1500000,15LPA,"['c', 'programming', 'diploma', 'bengaluru', '1500000 salary', '9 experience (years)']"
ORACLE EBS ANALYST,Lucknow,Male,B.Tech/B.E.,12,1900000,19LPA,"['oracle', 'ebs', 'analyst', 'lucknow', '1900000 salary', '12 experience (years)']"
ServiceNow CMDB,Pune,Male,B.Tech/B.E.,6,1700000,17LPA,"['servicenow', 'cmdb', 'pune', '1700000 salary', '6 experience (years)']"
C++,Faridabad,Female,B.A,23,1000000,10LPA,"['faridabad', '1000000 salary', '23 experience (years)']"
Java/C++,New Delhi,Male,BCA,25,700000,7LPA,"['java', 'bca', 'new', 'delhi', '700000 salary', '25 experience (years)']"
"Lead Bankfast Engi,",Pune,Female,B.Com,15,1700000,17LPA,"['lead', 'bankfast', 'engi', 'pune', '1700000 salary', '15 experience (years)']"
Linux Administrator,New Delhi,Female,B.B.A/ B.M.S,18,1900000,19LPA,"['linux', 'administrator', 'new', 'delhi', '1900000 salary', '18 experience (years)']"
IT Asset Management,Bengaluru,Male,B.Tech/B.E.,14,2100000,21LPA,"['it', 'asset', 'management', 'bengaluru', '2100000 salary', '14 experience (years)']"
Network Engineer,Dehradun,Male,B.Com,10,900000,9LPA,"['network', 'engineer', 'dehradun', '900000 salary', '10 experience (years)']"
Cuda Developer,New Delhi,Female,B.Tech/B.E.,13,1500000,15LPA,"['cuda', 'developer', 'new', 'delhi', '1500000 salary', '13 experience (years)']"
Oracle,New Delhi,Male,B.A,27,1700000,17LPA,"['oracle', 'new', 'delhi', '1700000 salary', '27 experience (years)']"
C++,Chennai,Male,B.Sc,13,2100000,21LPA,"['chennai', '2100000 salary', '13 experience (years)']"
Oracle,New Delhi,Female,B.Tech/B.E.,5,2400000,24LPA,"['oracle', 'new', 'delhi', '2400000 salary', '5 experience (years)']"
Python,Bengaluru,Female,B.Sc,8,2300000,23LPA,"['python', 'bengaluru', '2300000 salary', '8 experience (years)']"
Risk and portfolio,Jalgaon,Female,B.Com,21,1000000,10LPA,"['risk', 'and', 'portfolio', 'jalgaon', '1000000 salary', '21 experience (years)']"
ServiceNow Developer,Bengaluru,Female,B.Sc,6,700000,7LPA,"['servicenow', 'developer', 'bengaluru', '700000 salary', '6 experience (years)']"
ServiceNow Developer,Pune,Male,Not Pursuing Graduation,21,1100000,11LPA,"['servicenow', 'developer', 'not', 'pursuing', 'graduation', 'pune', '1100000 salary', '21 experience (years)']"
ServiceNow Developer,Pune,Male,B.Tech/B.E.,10,2200000,22LPA,"['servicenow', 'developer', 'pune', '2200000 salary', '10 experience (years)']"
ServiceNow Developer,Mumbai,Male,B.Tech/B.E.,23,900000,9LPA,"['servicenow', 'developer', 'mumbai', '900000 salary', '23 experience (years)']"
ServiceNow Developer,Ghaziabad,Female,B.Tech/B.E.,14,2100000,21LPA,"['servicenow', 'developer', 'ghaziabad', '2100000 salary', '14 experience (years)']"
Catia BIW,New Delhi,Male,B.Sc,20,2400000,24LPA,"['catia', 'biw', 'new', 'delhi', '2400000 salary', '20 experience (years)']"
Product Manager,Bengaluru,Female,B.Tech/B.E.,6,2200000,22LPA,"['product', 'manager', 'bengaluru', '2200000 salary', '6 experience (years)']"
Distributed Support,Pune,Male,BJMC,20,2200000,22LPA,"['distributed', 'support', 'bjmc', 'pune', '2200000 salary', '20 experience (years)']"
PeopleSoft Developer,Chennai,Male,B.A,20,1400000,14LPA,"['peoplesoft', 'developer', 'chennai', '1400000 salary', '20 experience (years)']"
Workday integration,Gurugram,Male,B.Tech/B.E.,23,2100000,21LPA,"['workday', 'integration', 'gurugram', '2100000 salary', '23 experience (years)']"
Workday integration,Hyderabad,Male,course on computer concepts,21,600000,6LPA,"['workday', 'integration', 'course', 'on', 'computer', 'concepts', 'hyderabad', '600000 salary', '21 experience (years)']"
PeopleSoft Developer,Pune,Male,BCA,19,700000,7LPA,"['peoplesoft', 'developer', 'bca', 'pune', '700000 salary', '19 experience (years)']"
Distributed Support,Pune,Male,B.Des.,23,1800000,18LPA,"['distributed', 'support', 'pune', '1800000 salary', '23 experience (years)']"
Distributed Support,vishakapatnam - Andhra Pradesh,Female,B.A,12,700000,7LPA,"['distributed', 'support', 'vishakapatnam', 'andhra', 'pradesh', '700000 salary', '12 experience (years)']"
PeopleSoft Developer,Chennai,Female,B.Com,10,1200000,12LPA,"['peoplesoft', 'developer', 'chennai', '1200000 salary', '10 experience (years)']"
Distributed Support,Chennai,Female,B.Com,26,1600000,16LPA,"['distributed', 'support', 'chennai', '1600000 salary', '26 experience (years)']"
Distributed Support,Chennai,Female,BCA,21,2200000,22LPA,"['distributed', 'support', 'bca', 'chennai', '2200000 salary', '21 experience (years)']"
Distributed Support,Bengaluru,Male,B.Tech/B.E.,13,2100000,21LPA,"['distributed', 'support', 'bengaluru', '2100000 salary', '13 experience (years)']"
IManage Support Specialist,Pune,Female,B.Tech/B.E.,26,2200000,22LPA,"['imanage', 'support', 'specialist', 'pune', '2200000 salary', '26 experience (years)']"
Front End Developer,Pune,Male,B.Tech/B.E.,14,2200000,22LPA,"['front', 'end', 'developer', 'pune', '2200000 salary', '14 experience (years)']"
MS Dynamics 365 CRM,Mumbai,Female,B.Tech/B.E.,9,2100000,21LPA,"['ms', 'dynamics', 'crm', 'mumbai', '2100000 salary', '9 experience (years)']"
Cuda Developer,Pune,Male,B.Tech/B.E.,21,800000,8LPA,"['cuda', 'developer', 'pune', '800000 salary', '21 experience (years)']"
Cuda Developer,Mumbai,Male,B.Tech/B.E.,24,2200000,22LPA,"['cuda', 'developer', 'mumbai', '2200000 salary', '24 experience (years)']"
"Business analyst,data analyst",New Delhi,Male,,15,1300000,13LPA,"['business', 'analyst', 'data', 'analyst', 'new', 'delhi', '1300000 salary', '15 experience (years)']"
SECURITY PROFESSIONAL,Noida,Female,B.A,5,500000,5LPA,"['security', 'professional', 'noida', '500000 salary', '5 experience (years)']"
Javascript,Ahemdabad - Gujarat,Male,B.Tech/B.E.,18,600000,6LPA,"['javascript', 'ahemdabad', 'gujarat', '600000 salary', '18 experience (years)']"
UI Angular,Noida,Male,B.Tech/B.E.,11,1700000,17LPA,"['ui', 'angular', 'noida', '1700000 salary', '11 experience (years)']"
Salesforce(Camera ON),Noida,Female,B.Tech/B.E.,17,2000000,20LPA,"['on', 'noida', '2000000 salary', '17 experience (years)']"
GCP Data engineer,Patna,Male,B.Tech/B.E.,7,2300000,23LPA,"['gcp', 'data', 'engineer', 'patna', '2300000 salary', '7 experience (years)']"
ServiceNow General,Bengaluru,Male,B.Tech/B.E.,15,1100000,11LPA,"['servicenow', 'general', 'bengaluru', '1100000 salary', '15 experience (years)']"
Cuda Developer,Lucknow,Male,BCA,8,900000,9LPA,"['cuda', 'developer', 'bca', 'lucknow', '900000 salary', '8 experience (years)']"
Risk and portfolio,Mumbai,Male,B.Sc,6,1700000,17LPA,"['risk', 'and', 'portfolio', 'mumbai', '1700000 salary', '6 experience (years)']"
sfdc,Noida,Female,B.Sc,21,2400000,24LPA,"['sfdc', 'noida', '2400000 salary', '21 experience (years)']"
"Cloud data architect,data Architect",Ghaziabad,Male,B.Tech/B.E.,21,1700000,17LPA,"['cloud', 'data', 'architect', 'data', 'architect', 'ghaziabad', '1700000 salary', '21 experience (years)']"
Cuda Developer,Pune,Male,B.Tech/B.E.,15,2200000,22LPA,"['cuda', 'developer', 'pune', '2200000 salary', '15 experience (years)']"
Senior Infrastructure,Navi Mumbai,Male,B.Sc,27,600000,6LPA,"['senior', 'infrastructure', 'navi', 'mumbai', '600000 salary', '27 experience (years)']"
Java With Flowable,Noida,Male,B.Com,27,900000,9LPA,"['java', 'with', 'flowable', 'noida', '900000 salary', '27 experience (years)']"
servicenow,Pune,Male,B.Tech/B.E.,27,1700000,17LPA,"['servicenow', 'pune', '1700000 salary', '27 experience (years)']"
Ping Identity,Nagpur,Female,B.Tech/B.E.,13,1900000,19LPA,"['ping', 'identity', 'nagpur', '1900000 salary', '13 experience (years)']"
Cuda Developer,Hyderabad,Male,B.A,11,1500000,15LPA,"['cuda', 'developer', 'hyderabad', '1500000 salary', '11 experience (years)']"
Senior Data Scientist,Noida,Male,B.Tech/B.E.,23,800000,8LPA,"['senior', 'data', 'scientist', 'noida', '800000 salary', '23 experience (years)']"
Lead Data Engineer,Chennai,Female,B.Tech/B.E.,25,2000000,20LPA,"['lead', 'data', 'engineer', 'chennai', '2000000 salary', '25 experience (years)']"
Supply Chain Wareho,New Delhi,Male,B.Tech/B.E.,17,2400000,24LPA,"['supply', 'chain', 'wareho', 'new', 'delhi', '2400000 salary', '17 experience (years)']"
